0.05	0.7410108681328766	0.0	0.0	0.0
0.05	0.8455539216847073	0.01	0.002	0.008
0.05	0.837116536763219	0.02	0.002	0.018000000000000002
0.05	0.8841338376700663	0.03	0.0	0.03
0.05	0.906509930479918	0.04	0.014	0.026000000000000002
0.05	0.8981567638362261	0.05	0.0	0.05
0.05	0.9225427558453932	0.06	0.022	0.038
0.05	0.9471414956556572	0.07	0.02	0.05
0.05	0.912666148257732	0.08	0.008	0.07200000000000001
0.05	0.9325841894093668	0.09	0.008	0.08199999999999999
0.05	0.9539201769186744	0.1	0.082	0.018000000000000002
0.05	0.891977364584811	0.11	0.0	0.11
0.05	0.9189396191362718	0.12	0.004	0.11599999999999999
0.05	0.9332915057062956	0.13	0.064	0.066
0.05	0.943419966382139	0.14	0.046	0.09400000000000001
0.05	0.9473398040390544	0.15	0.068	0.08199999999999999
0.05	0.9388755599518678	0.16	0.07	0.09
0.05	0.9503897606611467	0.17	0.064	0.10600000000000001
0.05	0.9520829517127617	0.18	0.226	-0.04600000000000001
0.05	0.9705105489013576	0.19	0.234	-0.04400000000000001
0.05	0.9644366061019013	0.2	0.232	-0.032
0.05	0.9245617212000546	0.21	0.01	0.19999999999999998
0.05	0.9636958551676309	0.22	0.224	-0.0040000000000000036
0.05	0.9352843242953045	0.23	0.222	0.008000000000000007
0.05	0.939	0.24	0.142	0.098
0.05	0.9743820194958297	0.25	0.276	-0.026000000000000023
0.05	0.9644644884199748	0.26	0.344	-0.08399999999999996
0.05	0.9336011812544799	0.27	0.22	0.05000000000000002
0.05	0.979	0.28	0.304	-0.023999999999999966
0.05	0.939	0.29	0.228	0.06199999999999997
0.05	0.9347654212534438	0.3	0.194	0.10599999999999998
0.05	0.979	0.31	0.412	-0.10199999999999998
0.05	0.9582390683900988	0.32	0.314	0.006000000000000005
0.05	0.959	0.33	0.25	0.08000000000000002
0.05	0.979	0.34	0.39	-0.04999999999999999
0.05	0.959	0.35000000000000003	0.338	0.01200000000000001
0.05	0.959	0.36	0.232	0.12799999999999997
0.05	0.959	0.37	0.366	0.0040000000000000036
0.05	0.999	0.38	0.408	-0.02799999999999997
0.05	0.999	0.39	0.352	0.038000000000000034
0.05	0.999	0.4	0.362	0.038000000000000034
0.05	0.999	0.41000000000000003	0.372	0.038000000000000034
0.05	0.999	0.42	0.41	0.010000000000000009
0.05	0.999	0.43	0.428	0.0020000000000000018
0.05	0.999	0.44	0.396	0.043999999999999984
0.05	0.999	0.45	0.406	0.043999999999999984
0.05	0.999	0.46	0.386	0.07400000000000001
0.05	0.999	0.47000000000000003	0.478	-0.007999999999999952
0.05	0.999	0.48	0.46	0.019999999999999962
0.05	0.999	0.49	0.41	0.08000000000000002
0.05	0.999	0.5	0.362	0.138
0.05	0.999	0.51	0.404	0.10599999999999998
0.05	0.999	0.52	0.382	0.138
0.05	0.999	0.53	0.378	0.15200000000000002
0.05	0.999	0.54	0.422	0.11800000000000005
0.05	0.999	0.55	0.43	0.12000000000000005
0.05	0.999	0.56	0.422	0.13800000000000007
0.05	0.999	0.5700000000000001	0.382	0.18800000000000006
0.05	0.999	0.58	0.398	0.18199999999999994
0.05	0.999	0.59	0.472	0.118
0.05	0.999	0.6	0.438	0.16199999999999998
0.05	0.999	0.61	0.372	0.238
0.05	0.999	0.62	0.404	0.21599999999999997
0.05	0.999	0.63	0.368	0.262
0.05	0.999	0.64	0.366	0.274
0.05	0.999	0.65	0.438	0.21200000000000002
0.05	0.999	0.66	0.42	0.24000000000000005
0.05	0.999	0.67	0.422	0.24800000000000005
0.05	0.999	0.68	0.396	0.28400000000000003
0.05	0.999	0.6900000000000001	0.428	0.26200000000000007
0.05	0.999	0.7000000000000001	0.368	0.3320000000000001
0.05	0.999	0.71	0.358	0.352
0.05	0.999	0.72	0.364	0.356
0.05	0.999	0.73	0.336	0.39399999999999996
0.05	0.999	0.74	0.43	0.31
0.05	0.999	0.75	0.426	0.324
0.05	0.999	0.76	0.43	0.33
0.05	0.999	0.77	0.4	0.37
0.05	0.999	0.78	0.386	0.394
0.05	0.999	0.79	0.406	0.384
0.05	0.999	0.8	0.426	0.37400000000000005
0.060000000000000005	0.7781629092820511	0.0	0.0	0.0
0.060000000000000005	0.8175033754926079	0.01	0.0	0.01
0.060000000000000005	0.8498246242095963	0.02	0.005	0.015
0.060000000000000005	0.8787963430607926	0.03	0.0016666666666666668	0.028333333333333332
0.060000000000000005	0.9119943617162787	0.04	0.03833333333333333	0.0016666666666666705
0.060000000000000005	0.9171217528910227	0.05	0.03	0.020000000000000004
0.060000000000000005	0.9044969576303692	0.06	0.10166666666666667	-0.04166666666666667
0.060000000000000005	0.901964305110006	0.07	0.0016666666666666668	0.06833333333333334
0.060000000000000005	0.917117550479155	0.08	0.03	0.05
0.060000000000000005	0.9344535325665884	0.09	0.065	0.024999999999999994
0.060000000000000005	0.9480669901941695	0.1	0.15833333333333333	-0.05833333333333332
0.060000000000000005	0.9431505871599836	0.11	0.155	-0.045
0.060000000000000005	0.9011147562153148	0.12	0.0033333333333333335	0.11666666666666667
0.060000000000000005	0.9403558675598647	0.13	0.15833333333333333	-0.02833333333333332
0.060000000000000005	0.9411239481897838	0.14	0.06666666666666667	0.07333333333333335
0.060000000000000005	0.9164948322768249	0.15	0.0	0.15
0.060000000000000005	0.9397483888760811	0.16	0.07833333333333334	0.08166666666666667
0.060000000000000005	0.9190766992366041	0.17	0.0033333333333333335	0.16666666666666669
0.060000000000000005	0.9276223870853503	0.18	0.11666666666666667	0.06333333333333332
